,x,y,label
14092,-7.8202515,-2.641455,Male
3540,-7.367979,0.38350484,Female
1576,-5.5128174,-6.9493427,Male
18946,3.9307747,9.996041,Female
24785,4.5349236,-2.1500888,Male
20235,-4.258877,6.753033,Female
24775,-6.4700003,-3.7867396,Male
11833,0.5937662,5.5851035,Male
6232,-0.96048796,-7.290139,Female
19597,8.626771,3.4466572,Female
15330,2.2842743,-4.574015,Male
21002,2.0682642,3.9225767,Female
9253,2.679231,-4.5974073,Male
19126,2.3126495,6.625237,Female
2112,-1.5305865,11.862992,Male
7356,-5.7091036,-4.4651103,Female
12384,7.249286,3.747484,Female
23618,-3.6613305,-7.1618147,Female
27021,4.64838,2.59691,Female
26584,-0.6187244,-2.8073277,Female
3479,-4.914487,9.132279,Female
10316,-6.4288,-6.786552,Male
7458,-5.489941,-5.6075983,Female
9124,1.4375015,1.0542306,Male
3615,0.5341154,9.691153,Female
2003,-4.8106127,-6.783482,Male
14066,-7.768662,1.3162764,Male
8676,-3.0632439,1.3551575,Female
25824,-1.9160757,4.820252,Female
18719,-2.8270814,8.170972,Female
10598,-2.1582322,-12.554486,Male
24365,0.7419198,-0.95185804,Male
17683,-6.9462357,-0.997773,Male
12507,3.7482727,-3.4431987,Female
13416,8.288099,2.067391,Female
16129,-4.306334,12.0670805,Male
4874,2.283958,0.8481635,Male
25148,-2.0565825,1.9397646,Male
31,-2.726983,-8.682716,Male
697,-7.2488036,2.2934766,Male
6045,0.4352669,2.2117567,Male
631,10.068483,5.006109,Male
12593,3.4775114,-3.0060425,Female
16155,0.39642137,-0.6913913,Male
24237,-4.074628,-7.084917,Female
4767,4.4576297,3.1475363,Male
27732,-6.8838,2.2927332,Female
26939,-2.3930404,-12.374222,Female
16817,2.5242493,-4.062073,Male
12189,7.0195003,-0.6844609,Female
994,10.881682,2.9733455,Male
18517,-5.461083,2.6574912,Female
4600,7.2241387,5.486636,Male
20688,6.1711087,5.519091,Female
3817,2.0007772,3.534971,Female
17846,9.2629795,5.3897443,Male
16235,0.25348973,4.1984835,Male
9423,-5.947579,1.8533291,Male
18379,-0.4988721,7.8400216,Female
7658,-2.245028,7.376232,Female
26076,-3.2393687,-8.515616,Female
8018,-1.7962459,6.5655117,Female
7290,-3.3962986,-8.123411,Female
20333,-2.055531,3.3407307,Female
1348,-9.063305,1.1180397,Male
3264,0.037273604,3.600578,Female
28177,-4.266632,-2.5035288,Female
25810,-4.6194105,7.0323267,Female
6161,-8.502451,-4.4489145,Female
28708,-1.5910122,-1.552452,Female
3388,-4.552782,9.969507,Female
3310,-2.0225415,7.0592437,Female
25878,-3.8624418,3.043392,Female
21535,-2.061536,-8.038085,Male
13601,7.376648,0.5527599,Female
18618,-5.2079606,3.5374537,Female
20513,-4.030392,4.586387,Female
6883,7.1938086,-0.63774,Female
23963,-4.1650786,-6.350861,Female
13099,3.089065,-3.212667,Female
21629,1.1909429,3.5852032,Male
5709,1.5061496,4.637368,Male
23885,-1.1469096,4.591757,Female
18886,-8.59058,6.1296043,Female
14532,-2.4016395,-11.322827,Male
21640,-1.4909898,-9.820695,Male
16166,-0.56159717,8.615239,Male
26539,-5.409585,2.9740152,Female
13508,-7.585215,-0.661607,Female
21370,9.688945,1.9972574,Male
2498,-3.7733715,11.34231,Male
11746,2.6065478,-1.1116418,Male
13169,6.561151,-2.029951,Female
5502,0.34343922,-1.5395213,Male
22170,5.8607736,2.9809027,Male
5995,-2.2275307,3.960375,Male
6228,-7.39391,-5.044232,Female
28265,0.80952215,2.0272274,Female
9812,3.121405,-2.5345705,Male
1199,-7.9067917,4.7544203,Male
26379,0.26004595,0.14032969,Female
1692,-3.2822356,-8.760594,Male
19853,5.1447144,1.8262099,Female
1709,-7.057154,-6.2496095,Male
11729,-9.340885,-0.45750022,Male
10950,5.088419,-2.9390442,Male
28348,-7.292418,1.5313493,Female
15607,-5.3308725,9.262413,Male
22610,0.74354756,2.6537132,Male
21850,-0.8260805,2.604511,Male
26194,-2.0848637,-1.7442222,Female
18008,2.64305,6.370966,Male
19976,6.2600665,2.0596952,Female
6621,-8.471948,-3.7059042,Female
14543,0.6637982,-1.7724396,Male
1608,-3.9005685,-8.176592,Male
18321,2.6305552,-0.57272416,Female
24125,-3.6845415,-10.270406,Female
11502,3.9510496,-3.3521712,Male
3015,-3.1521187,10.35072,Male
20865,0.58159274,0.6364747,Female
2988,-9.258167,7.105514,Male
23283,-2.5617301,-11.600995,Female
4590,-9.804112,6.0540957,Male
23876,-6.0593224,1.7507509,Female
19217,-4.36864,10.271389,Female
14229,-4.85961,-1.7373234,Male
114,-4.714762,-0.5037622,Male
19249,4.4575,5.003048,Female
10427,-5.932817,2.548646,Male
2480,-5.0513444,0.03775788,Male
12715,9.017274,-0.24564704,Female
19857,-8.29082,5.0000057,Female
22744,0.60216355,4.2864523,Female
27313,-7.5864215,3.1171026,Female
21408,0.49712965,9.46347,Male
686,-8.376389,-5.699009,Male
2997,2.9033372,7.7490892,Male
24371,-2.6638217,8.011748,Male
12525,1.3641946,-3.2065408,Female
9194,-2.6540856,-8.8628235,Male
20146,-7.011095,1.8890492,Female
11227,1.0055193,-2.2921765,Male
27103,-7.825644,5.9532948,Female
24183,-3.300692,-9.548002,Female
10853,5.9059215,-2.083497,Male
26578,-2.9311116,-2.037988,Female
16167,1.1624902,4.821308,Male
11488,5.5687714,2.938743,Male
13191,3.271803,-4.6943717,Female
27930,-3.7060342,5.576792,Female
13115,3.380368,-2.4713519,Female
6144,-4.079375,-3.2250535,Female
838,-1.869471,5.1586084,Male
27451,-1.1938583,7.232786,Female
6524,-5.9215217,1.1618445,Female
20964,-3.5338507,6.514444,Female
24373,-6.0312953,-1.5406277,Male
415,-0.22411631,3.1719553,Male
13008,7.648115,-0.39831257,Female
6874,-2.5003722,-11.709837,Female
24024,-7.8335953,2.4094524,Female
6486,-6.420621,-4.175245,Female
10039,-0.8665721,-6.5448165,Male
20196,-6.2264194,1.6848632,Female
9279,-0.8896243,-2.3323326,Male
12407,2.5631702,-2.1987915,Female
14952,0.5085613,-3.6865273,Male
7655,-0.26953757,4.0072093,Female
18262,-2.0056934,1.8020283,Female
1432,-8.731318,-2.4569995,Male
21362,5.3700147,-0.3079044,Male
16985,1.2513052,-1.2114336,Male
9159,1.8233752,5.788376,Male
23146,-2.3877974,-8.839225,Female
6510,-7.5396204,-4.3578644,Female
242,-4.528371,-8.446571,Male
15396,-1.3344561,1.7070303,Male
4572,3.4634964,4.684461,Male
28256,-7.724103,7.3366947,Female
