number,index,Heart Rate
0,2018-09-27 06:56:40,70.0
1,2018-09-27 06:56:50,70.0
2,2018-09-27 06:57:00,70.0
3,2018-09-27 06:57:10,70.0
4,2018-09-27 06:57:20,70.0
5,2018-09-27 06:57:30,70.0
6,2018-09-27 06:57:40,70.0
7,2018-09-27 06:57:50,70.0
8,2018-09-27 06:58:00,70.0
9,2018-09-27 06:58:10,70.0
10,2018-09-27 06:58:20,70.0
11,2018-09-27 06:58:30,70.0
12,2018-09-27 06:58:40,70.0
13,2018-09-27 06:58:50,70.0
14,2018-09-27 06:59:00,70.0
15,2018-09-27 06:59:10,70.0
16,2018-09-27 06:59:20,70.0
17,2018-09-27 06:59:30,70.0
18,2018-09-27 06:59:40,70.0
19,2018-09-27 06:59:50,70.0
20,2018-09-27 07:00:00,70.0
21,2018-09-27 07:00:10,70.0
22,2018-09-27 07:00:20,70.0
23,2018-09-27 07:00:30,70.0
24,2018-09-27 07:00:40,70.0
25,2018-09-27 07:00:50,70.0
26,2018-09-27 07:01:00,70.0
27,2018-09-27 07:01:10,70.0
28,2018-09-27 07:01:20,70.0
29,2018-09-27 07:01:30,70.0
30,2018-09-27 07:01:40,70.0
31,2018-09-27 07:01:50,70.0
32,2018-09-27 07:02:00,70.0
33,2018-09-27 07:02:10,70.0
34,2018-09-27 07:02:20,70.0
35,2018-09-27 07:02:30,70.0
36,2018-09-27 07:02:40,70.0
37,2018-09-27 07:02:50,70.0
38,2018-09-27 07:03:00,70.0
39,2018-09-27 07:03:10,70.0
40,2018-09-27 07:03:20,70.0
41,2018-09-27 07:03:30,70.0
42,2018-09-27 07:03:40,70.0
43,2018-09-27 07:03:50,70.0
44,2018-09-27 07:04:00,70.0
45,2018-09-27 07:04:10,70.0
46,2018-09-27 07:04:20,70.0
47,2018-09-27 07:04:30,70.0
48,2018-09-27 07:04:40,70.0
49,2018-09-27 07:04:50,70.0
50,2018-09-27 07:05:00,70.0
51,2018-09-27 07:05:10,70.0
52,2018-09-27 07:05:20,70.0
53,2018-09-27 07:05:30,70.0
54,2018-09-27 07:05:40,70.0
55,2018-09-27 07:05:50,70.0
56,2018-09-27 07:06:00,70.0
57,2018-09-27 07:06:10,70.0
58,2018-09-27 07:06:20,70.0
59,2018-09-27 07:06:30,70.0
60,2018-09-27 07:06:40,70.0
61,2018-09-27 07:06:50,70.0
62,2018-09-27 07:07:00,70.0
63,2018-09-27 07:07:10,70.0
64,2018-09-27 07:07:20,70.0
65,2018-09-27 07:07:30,70.0
66,2018-09-27 07:07:40,70.0
67,2018-09-27 07:07:50,70.0
68,2018-09-27 07:08:00,70.0
69,2018-09-27 07:08:10,70.0
70,2018-09-27 07:08:20,70.0
71,2018-09-27 07:08:30,70.0
72,2018-09-27 07:08:40,70.0
73,2018-09-27 07:08:50,70.0
74,2018-09-27 07:09:00,70.0
75,2018-09-27 07:09:10,70.0
76,2018-09-27 07:09:20,70.0
77,2018-09-27 07:09:30,70.0
78,2018-09-27 07:09:40,70.0
79,2018-09-27 07:09:50,70.0
80,2018-09-27 07:10:00,70.0
81,2018-09-27 07:10:10,70.0
82,2018-09-27 07:10:20,70.0
83,2018-09-27 07:10:30,70.0
84,2018-09-27 07:10:40,70.0
85,2018-09-27 07:10:50,70.0
86,2018-09-27 07:11:00,70.0
87,2018-09-27 07:11:10,70.0
88,2018-09-27 07:11:20,70.0
89,2018-09-27 07:11:30,70.0
90,2018-09-27 07:11:40,70.0
91,2018-09-27 07:11:50,70.0
92,2018-09-27 07:12:00,70.0
93,2018-09-27 07:12:10,70.0
94,2018-09-27 07:12:20,70.0
95,2018-09-27 07:12:30,70.0
96,2018-09-27 07:12:40,70.0
97,2018-09-27 07:12:50,70.0
98,2018-09-27 07:13:00,70.0
99,2018-09-27 07:13:10,70.0
100,2018-09-27 07:13:20,70.0
101,2018-09-27 07:13:30,70.0
102,2018-09-27 07:13:40,70.0
103,2018-09-27 07:13:50,70.0
104,2018-09-27 07:14:00,70.0
105,2018-09-27 07:14:10,70.0
106,2018-09-27 07:14:20,70.0
107,2018-09-27 07:14:30,70.0
108,2018-09-27 07:14:40,70.0
109,2018-09-27 07:14:50,70.0
110,2018-09-27 07:15:00,70.0
111,2018-09-27 07:15:10,70.0
112,2018-09-27 07:15:20,70.0
113,2018-09-27 07:15:30,70.0
114,2018-09-27 07:15:40,70.0
115,2018-09-27 07:15:50,70.0
116,2018-09-27 07:16:00,70.0
117,2018-09-27 07:16:10,70.0
118,2018-09-27 07:16:20,70.0
119,2018-09-27 07:16:30,70.0
120,2018-09-27 07:16:40,70.0
121,2018-09-27 07:16:50,70.0
122,2018-09-27 07:17:00,70.0
123,2018-09-27 07:17:10,70.0
124,2018-09-27 07:17:20,70.0
125,2018-09-27 07:17:30,70.0
126,2018-09-27 07:17:40,70.0
127,2018-09-27 07:17:50,70.0
128,2018-09-27 07:18:00,70.0
129,2018-09-27 07:18:10,70.0
130,2018-09-27 07:18:20,70.0
131,2018-09-27 07:18:30,70.0
132,2018-09-27 07:18:40,70.0
133,2018-09-27 07:18:50,70.0
134,2018-09-27 07:19:00,70.0
135,2018-09-27 07:19:10,70.0
136,2018-09-27 07:19:20,70.0
137,2018-09-27 07:19:30,70.0
138,2018-09-27 07:19:40,70.0
139,2018-09-27 07:19:50,70.0
140,2018-09-27 07:20:00,70.0
141,2018-09-27 07:20:10,70.0
142,2018-09-27 07:20:20,70.0
143,2018-09-27 07:20:30,70.0
144,2018-09-27 07:20:40,70.0
145,2018-09-27 07:20:50,70.0
146,2018-09-27 07:21:00,70.0
147,2018-09-27 07:21:10,70.0
148,2018-09-27 07:21:20,70.0
149,2018-09-27 07:21:30,70.0
150,2018-09-27 07:21:40,70.0
151,2018-09-27 07:21:50,70.0
152,2018-09-27 07:22:00,70.0
153,2018-09-27 07:22:10,70.0
154,2018-09-27 07:22:20,70.0
155,2018-09-27 07:22:30,70.0
156,2018-09-27 07:22:40,70.0
157,2018-09-27 07:22:50,70.0
158,2018-09-27 07:23:00,70.0
159,2018-09-27 07:23:10,70.0
160,2018-09-27 07:23:20,70.0
161,2018-09-27 07:23:30,70.0
162,2018-09-27 07:23:40,70.0
163,2018-09-27 07:23:50,70.0
164,2018-09-27 07:24:00,70.0
165,2018-09-27 07:24:10,70.0
166,2018-09-27 07:24:20,70.0
167,2018-09-27 07:24:30,70.0
168,2018-09-27 07:24:40,70.0
169,2018-09-27 07:24:50,70.0
170,2018-09-27 07:25:00,70.0
171,2018-09-27 07:25:10,70.0
172,2018-09-27 07:25:20,70.0
173,2018-09-27 07:25:30,70.0
174,2018-09-27 07:25:40,70.0
175,2018-09-27 07:25:50,70.0
176,2018-09-27 07:26:00,70.0
177,2018-09-27 07:26:10,70.0
178,2018-09-27 07:26:20,70.0
179,2018-09-27 07:26:30,70.0
180,2018-09-27 07:26:40,70.0
181,2018-09-27 07:26:50,70.0
182,2018-09-27 07:27:00,70.0
183,2018-09-27 07:27:10,70.0
184,2018-09-27 07:27:20,70.0
185,2018-09-27 07:27:30,70.0
186,2018-09-27 07:27:40,70.0
187,2018-09-27 07:27:50,70.0
188,2018-09-27 07:28:00,70.0
189,2018-09-27 07:28:10,70.0
190,2018-09-27 07:28:20,70.0
191,2018-09-27 07:28:30,70.0
192,2018-09-27 07:28:40,70.0
193,2018-09-27 07:28:50,70.0
194,2018-09-27 07:29:00,70.0
195,2018-09-27 07:29:10,70.0
196,2018-09-27 07:29:20,70.0
197,2018-09-27 07:29:30,70.0
198,2018-09-27 07:29:40,70.0
199,2018-09-27 07:29:50,70.0
200,2018-09-27 07:30:00,70.0
201,2018-09-27 07:30:10,70.0
202,2018-09-27 07:30:20,70.0
203,2018-09-27 07:30:30,70.0
204,2018-09-27 07:30:40,70.0
205,2018-09-27 07:30:50,70.0
206,2018-09-27 07:31:00,70.0
207,2018-09-27 07:31:10,70.0
208,2018-09-27 07:31:20,70.0
209,2018-09-27 07:31:30,70.0
210,2018-09-27 07:31:40,70.0
211,2018-09-27 07:31:50,70.0
212,2018-09-27 07:32:00,70.0
