,index,Heart_Rate
0,2018-04-06 06:56:40,59.5
1,2018-04-06 06:56:50,59.0
2,2018-04-06 06:57:00,61.5
3,2018-04-06 06:57:10,57.0
4,2018-04-06 06:57:20,55.5
5,2018-04-06 06:57:30,57.5
6,2018-04-06 06:57:40,60.0
7,2018-04-06 06:57:50,62.5
8,2018-04-06 06:58:00,65.0
9,2018-04-06 06:58:10,65.0
10,2018-04-06 06:58:20,61.5
11,2018-04-06 06:58:30,65.5
12,2018-04-06 06:58:40,63.5
13,2018-04-06 06:58:50,64.5
14,2018-04-06 06:59:00,61.5
15,2018-04-06 06:59:10,62.0
16,2018-04-06 06:59:20,57.5
17,2018-04-06 06:59:30,61.5
18,2018-04-06 06:59:40,62.5
19,2018-04-06 06:59:50,63.5
20,2018-04-06 07:00:00,63.0
21,2018-04-06 07:00:10,63.0
22,2018-04-06 07:00:20,62.5
23,2018-04-06 07:00:30,66.0
24,2018-04-06 07:00:40,68.0
25,2018-04-06 07:00:50,71.0
26,2018-04-06 07:01:00,71.0
27,2018-04-06 07:01:10,71.0
28,2018-04-06 07:01:20,71.0
29,2018-04-06 07:01:30,71.0
30,2018-04-06 07:01:40,70.0
31,2018-04-06 07:01:50,70.0
32,2018-04-06 07:02:00,70.0
33,2018-04-06 07:02:10,67.0
34,2018-04-06 07:02:20,63.5
35,2018-04-06 07:02:30,62.5
36,2018-04-06 07:02:40,62.0
37,2018-04-06 07:02:50,61.0
38,2018-04-06 07:03:00,61.5
39,2018-04-06 07:03:10,61.75
40,2018-04-06 07:03:20,62.0
41,2018-04-06 07:03:30,62.0
42,2018-04-06 07:03:40,62.0
43,2018-04-06 07:03:50,62.0
44,2018-04-06 07:04:00,61.0
45,2018-04-06 07:04:10,61.5
46,2018-04-06 07:04:20,61.0
47,2018-04-06 07:04:30,62.0
48,2018-04-06 07:04:40,63.0
49,2018-04-06 07:04:50,63.0
50,2018-04-06 07:05:00,64.0
51,2018-04-06 07:05:10,66.0
52,2018-04-06 07:05:20,67.0
53,2018-04-06 07:05:30,67.0
54,2018-04-06 07:05:40,65.0
55,2018-04-06 07:05:50,64.0
56,2018-04-06 07:06:00,64.0
57,2018-04-06 07:06:10,64.0
58,2018-04-06 07:06:20,64.0
59,2018-04-06 07:06:30,64.5
60,2018-04-06 07:06:40,64.0
61,2018-04-06 07:06:50,65.0
62,2018-04-06 07:07:00,65.0
63,2018-04-06 07:07:10,65.0
64,2018-04-06 07:07:20,63.5
65,2018-04-06 07:07:30,63.25
66,2018-04-06 07:07:40,63.0
67,2018-04-06 07:07:50,63.0
68,2018-04-06 07:08:00,63.0
69,2018-04-06 07:08:10,63.0
70,2018-04-06 07:08:20,63.0
71,2018-04-06 07:08:30,63.0
72,2018-04-06 07:08:40,62.0
73,2018-04-06 07:08:50,63.0
74,2018-04-06 07:09:00,64.0
75,2018-04-06 07:09:10,63.0
76,2018-04-06 07:09:20,63.0
77,2018-04-06 07:09:30,63.0
78,2018-04-06 07:09:40,63.0
79,2018-04-06 07:09:50,63.0
80,2018-04-06 07:10:00,63.0
81,2018-04-06 07:10:10,63.0
82,2018-04-06 07:10:20,65.0
83,2018-04-06 07:10:30,65.0
84,2018-04-06 07:10:40,65.0
85,2018-04-06 07:10:50,65.0
86,2018-04-06 07:11:00,65.0
87,2018-04-06 07:11:10,65.0
88,2018-04-06 07:11:20,65.0
89,2018-04-06 07:11:30,65.0
90,2018-04-06 07:11:40,64.0
91,2018-04-06 07:11:50,63.0
92,2018-04-06 07:12:00,63.0
93,2018-04-06 07:12:10,64.0
94,2018-04-06 07:12:20,63.0
95,2018-04-06 07:12:30,62.0
96,2018-04-06 07:12:40,62.0
97,2018-04-06 07:12:50,62.0
98,2018-04-06 07:13:00,63.0
99,2018-04-06 07:13:10,62.0
100,2018-04-06 07:13:20,62.0
101,2018-04-06 07:13:30,62.0
102,2018-04-06 07:13:40,62.0
103,2018-04-06 07:13:50,62.0
104,2018-04-06 07:14:00,62.0
105,2018-04-06 07:14:10,62.5
106,2018-04-06 07:14:20,62.0
107,2018-04-06 07:14:30,62.0
108,2018-04-06 07:14:40,63.0
109,2018-04-06 07:14:50,63.0
110,2018-04-06 07:15:00,63.0
111,2018-04-06 07:15:10,63.0
112,2018-04-06 07:15:20,62.0
113,2018-04-06 07:15:30,61.0
114,2018-04-06 07:15:40,61.0
115,2018-04-06 07:15:50,61.0
116,2018-04-06 07:16:00,61.0
117,2018-04-06 07:16:10,61.0
118,2018-04-06 07:16:20,60.0
119,2018-04-06 07:16:30,60.0
120,2018-04-06 07:16:40,60.0
121,2018-04-06 07:16:50,60.0
122,2018-04-06 07:17:00,60.0
123,2018-04-06 07:17:10,61.0
124,2018-04-06 07:17:20,60.0
125,2018-04-06 07:17:30,60.0
126,2018-04-06 07:17:40,60.0
127,2018-04-06 07:17:50,60.0
128,2018-04-06 07:18:00,60.25
129,2018-04-06 07:18:10,60.5
130,2018-04-06 07:18:20,60.75
